sap_id,streetlight_model,streetlight_type,streetlight_wattage,streetlight_voltage,lng,lat,location_description
SS-028560-006,COBRA,IND,85,240,-117.2159917,32.8849801,WESTERRA CT W/O TOWNE CTR DR 435' S/S
SS-028560-004,COBRA,IND,85,240,-117.2156058,32.88514932,WESTERRA CT W/O TOWNE CTR DR 315' S/S
SS-028560-002,COBRA,IND,85,240,-117.2152927,32.88529164,WESTERRA CT W/O TOWNE CTR DR 190' S/S
SS-028560-009,COBRA,IND,85,240,-117.2151176,32.8853974,WESTERRA CT W/O TOWNE CTR DR 90' S/S
SS-026727-001,COBRA,IND,85,240,-117.2149377,32.88573406,TOWNE CENTRE DR S/O WESTERRA CT 105' W/S
,COBRA,IND,85,120,-117.2433168,32.88895311,TORREY PINES SCENIC DR W/O N TORREY PINES RD 300' N/S
,COBRA,IND,85,120,-117.2436935,32.88817813,TORREY PINES SCENIC DR W/O N TORREY PINES RD 210' N/S
,COBRA,IND,85,120,-117.2450174,32.88806051,N TORREY PINES RD N/O TORREY PINES SCENIC DR 400' W/S
,COBRA,IND,85,120,-117.2442103,32.88785363,N TORREY PINES RD N/O TORREY PINES SCENIC DR 175' W/S
SS-012019-005,COBRA,IND,85,240,-117.2225421,32.8846345,GENESEE AV @ SCRIPPS HOSP NWW
SS-015636-007,COBRA,IND,85,240,-117.2326626,32.87190057,L J VLG DR W/O VILLA L J DR 250'
SS-015636-005,COBRA,IND,85,240,-117.2331865,32.87191186,LA JOLLA VILLAGE DR E/O VILLA LA JOLLA DR 1N
SX-003480-005,COBRA,IND,85,240,-117.2336701,32.87188876,AI LA JOLLA VILLAGE DR@VILLA LA JOLLA DR NE
SX-003480-002,COBRA,IND,85,240,-117.2340067,32.87189145,L J VLG DR W/O VILLA L J DR 825'
,COBRA,IND,85,240,-117.2345396,32.87189951,L J VLG DR W/O VILLA L J DR 500'
SX-003495-005,COBRA,IND,85,240,-117.242445,32.87009195,L J VLG DR @ TORREY PINES RD SW
SX-003495-002,COBRA,IND,85,240,-117.2421033,32.87000368,L J VLG DR @ TORREY PINES RD SE
SX-003505-002,COBRA,IND,85,240,-117.2379703,32.8693782,EVENING WY @ GILMAN DR NE
SX-003494-003,COBRA,IND,85,120,-117.240818,32.8704257,L J SCENIC WY @ L J VLG DR NEN
SX-003494-005,COBRA,IND,85,120,-117.2410955,32.87032959,L J SCENIC WY @ L J VLG DR NWW
SX-003494-002,COBRA,IND,85,120,-117.240613,32.87013488,L J SCENIC WY @ L J VLG DR SEE
SX-003493-004,COBRA,IND,85,120,-117.234029,32.87043449,HOLIDAY CT @ VILLA L J @ VLA NORTE NW
SX-003480-003,COBRA,IND,85,240,-117.233633,32.87147721,LA JOLLA VILLAGE DR E/O VILLA LA JOLLA DR 2N
SS-015636-006,COBRA,IND,85,240,-117.232704,32.87150282,LA JOLLA VILLAGE DR E/O VILLA LA JOLLA DR 1S
